Attribute,Value,Count
AGEP,62.0,205
AGEP,60.0,199
AGEP,58.0,196
AGEP,59.0,194
AGEP,65.0,191
AGEP,66.0,187
AGEP,63.0,180
AGEP,61.0,175
AGEP,64.0,171
AGEP,67.0,169
AGEP,70.0,168
AGEP,68.0,161
AGEP,57.0,158
AGEP,56.0,156
AGEP,54.0,148
AGEP,55.0,144
AGEP,69.0,144
AGEP,9.0,141
AGEP,71.0,138
AGEP,10.0,132
AGEP,31.0,132
AGEP,11.0,132
AGEP,13.0,131
AGEP,18.0,131
AGEP,34.0,130
AGEP,30.0,128
AGEP,17.0,127
AGEP,53.0,125
AGEP,14.0,125
AGEP,7.0,124
AGEP,26.0,123
AGEP,15.0,122
AGEP,72.0,122
AGEP,47.0,122
AGEP,16.0,122
AGEP,8.0,121
AGEP,5.0,120
AGEP,40.0,119
AGEP,19.0,118
AGEP,37.0,118
AGEP,36.0,117
AGEP,48.0,114
AGEP,52.0,114
AGEP,76.0,114
AGEP,73.0,111
AGEP,6.0,111
AGEP,12.0,111
AGEP,51.0,110
AGEP,29.0,109
AGEP,39.0,109
AGEP,35.0,109
AGEP,2.0,108
AGEP,4.0,108
AGEP,24.0,108
AGEP,49.0,107
AGEP,42.0,105
AGEP,3.0,105
AGEP,44.0,104
AGEP,41.0,103
AGEP,74.0,102
AGEP,20.0,101
AGEP,27.0,98
AGEP,75.0,97
AGEP,32.0,96
AGEP,38.0,95
AGEP,28.0,94
AGEP,50.0,94
AGEP,46.0,93
AGEP,22.0,92
AGEP,43.0,92
AGEP,33.0,91
AGEP,0.0,89
AGEP,45.0,88
AGEP,23.0,86
AGEP,25.0,84
AGEP,1.0,83
AGEP,21.0,83
AGEP,79.0,78
AGEP,77.0,77
AGEP,78.0,77
AGEP,80.0,73
AGEP,94.0,67
AGEP,81.0,55
AGEP,82.0,53
AGEP,83.0,51
AGEP,87.0,40
AGEP,85.0,39
AGEP,84.0,38
AGEP,86.0,36
AGEP,89.0,23
AGEP,90.0,23
AGEP,88.0,22
SCHL,16.0,2047
SCHL,21.0,1619
SCHL,19.0,1466
SCHL,20.0,740
SCHL,18.0,651
SCHL,22.0,565
SCHL,17.0,342
SCHL,-99999.0,280
SCHL,14.0,257
SCHL,1.0,244
SCHL,11.0,210
SCHL,13.0,203
SCHL,12.0,197
SCHL,2.0,152
SCHL,6.0,144
SCHL,7.0,143
SCHL,23.0,137
SCHL,5.0,136
SCHL,10.0,129
SCHL,9.0,121
SCHL,3.0,120
SCHL,8.0,119
SCHL,4.0,118
SCHL,15.0,109
SCHL,24.0,87
MAR,1.0,4855
MAR,5.0,3775
MAR,3.0,1040
MAR,2.0,587
MAR,4.0,79
SEX,1.0,5237
SEX,2.0,5099
DIS,2.0,8702
DIS,1.0,1634
ESP,-99999.0,8410
ESP,1.0,970
ESP,2.0,401
ESP,7.0,259
ESP,5.0,100
ESP,8.0,74
ESP,3.0,51
ESP,6.0,42
ESP,4.0,29
MIG,1.0,8977
MIG,3.0,1238
MIG,-99999.0,89
MIG,2.0,32
CIT,1.0,10056
CIT,4.0,111
CIT,3.0,86
CIT,5.0,79
CIT,2.0,4
MIL,4.0,7252
MIL,-99999.0,1985
MIL,2.0,898
MIL,3.0,177
MIL,1.0,24
ANC,1.0,4621
ANC,2.0,3562
ANC,4.0,1812
ANC,3.0,341
NATIVITY,1.0,10146
NATIVITY,2.0,190
RELP,0.0,4304
RELP,1.0,2318
RELP,2.0,2108
RELP,7.0,249
RELP,13.0,244
RELP,16.0,223
RELP,17.0,211
RELP,12.0,128
RELP,15.0,96
RELP,3.0,94
RELP,4.0,89
RELP,10.0,61
RELP,5.0,60
RELP,6.0,59
RELP,9.0,31
RELP,11.0,27
RELP,8.0,20
RELP,14.0,14
DEAR,2.0,9713
DEAR,1.0,623
DEYE,2.0,10082
DEYE,1.0,254
DREM,2.0,9255
DREM,1.0,588
DREM,-99999.0,493
RAC1P,1.0,9174
RAC1P,3.0,731
RAC1P,9.0,266
RAC1P,6.0,52
RAC1P,8.0,50
RAC1P,5.0,32
RAC1P,2.0,25
RAC1P,7.0,4
RAC1P,4.0,2
GCL,2.0,6804
GCL,-99999.0,3339
GCL,1.0,193
ESR,1.0,4707
ESR,6.0,3463
ESR,-99999.0,1863
ESR,3.0,172
ESR,2.0,104
ESR,4.0,27
